county & state,2015 Total Population (Esri)
San Luis Obispo California,275277
San Mateo California,728205
Santa Barbara California,423997
Santa Clara California,1871782
Santa Cruz California,263302
Shasta California,179053
Sierra California,3303
Siskiyou California,45413
Solano California,429713
Sonoma California,494226
Stanislaus California,525147
Sutter California,96464
Tehama California,64453
Trinity California,13711
Tulare California,460827
Tuolumne California,54604
Ventura California,836298
Yolo California,213288
Yuba California,73725
Adams Colorado,476057
Alamosa Colorado,16427
Arapahoe Colorado,563523
Archuleta Colorado,12519
Baca Colorado,3709
Bent Colorado,5877
Boulder Colorado,306430
Broomfield Colorado,48838
Chaffee Colorado,18572
Cheyenne Colorado,1826
Clear Creek Colorado,9093
Conejos Colorado,8254
Costilla Colorado,3625
Crowley Colorado,5514
Custer Colorado,4555
Delta Colorado,31187
Denver Colorado,694840
Dolores Colorado,1995
Douglas Colorado,312444
Eagle Colorado,53561
El Paso Colorado,660725
Elbert Colorado,23919
Fremont Colorado,45808
Garfield Colorado,58614
Gilpin Colorado,5686
Grand Colorado,14790
Gunnison Colorado,15538
Hinsdale Colorado,840
Huerfano Colorado,6846
Jackson Colorado,1398
Jefferson Colorado,560207
Kiowa Colorado,1412
Kit Carson Colorado,8007
La Plata Colorado,53583
Lake Colorado,7398
Larimer Colorado,320366
Las Animas Colorado,15113
Lincoln Colorado,5454
Logan Colorado,22609
Mesa Colorado,150881
Mineral Colorado,726
Moffat Colorado,13378
Montezuma Colorado,26300
Montrose Colorado,41739
Morgan Colorado,28294
Otero Colorado,18593
Ouray Colorado,4525
Park Colorado,16518
Phillips Colorado,4527
Pitkin Colorado,17323
Prowers Colorado,12143
Pueblo Colorado,160685
Rio Blanco Colorado,7008
Rio Grande Colorado,12083
Routt Colorado,23808
Saguache Colorado,6409
San Juan Colorado,689
San Miguel Colorado,7510
Sedgwick Colorado,2338
Summit Colorado,28173
Teller Colorado,24168
Washington Colorado,4848
Weld Colorado,269245
Yuma Colorado,10190
Middlesex Connecticut,167308
New London Connecticut,270733
Fairfield Connecticut,936805
Hartford Connecticut,904715
Litchfield Connecticut,183529
Windham Connecticut,115148
New Haven Connecticut,863227
Tolland Connecticut,156273
Kent Delaware,171943
Sussex Delaware,214075
New Castle Delaware,547087
District of Columbia District of Columbia,643615
Bay Florida,171102
Gulf Florida,16046
Okaloosa Florida,189624
Santa Rosa Florida,164405
Washington Florida,24864
Holmes Florida,20381
Escambia Florida,303117
Jackson Florida,50176
Calhoun Florida,14829
Walton Florida,59832
Monroe Florida,70008
Miami-Dade Florida,2585257
Lee Florida,666543
Palm Beach Florida,1358360
Manatee Florida,346011
Sarasota Florida,387144
St. Lucie Florida,287564
Martin Florida,154269
Putnam Florida,73758
Citrus Florida,141539
Duval Florida,896015
Franklin Florida,11688
Hillsborough Florida,1308304
Indian River Florida,141528
Gilchrist Florida,17373
Highlands Florida,99891
St. Johns Florida,208503
Hardee Florida,29053
Bradford Florida,29808
Flagler Florida,102828
Baker Florida,27744
Orange Florida,1231513
Jefferson Florida,15300
Hendry Florida,38977
Glades Florida,12176
Clay Florida,197332
Columbia Florida,68991
Hernando Florida,176754
Levy Florida,40474
Nassau Florida,75520
Gadsden Florida,47385
Pasco Florida,483137
Broward Florida,1806366
Dixie Florida,17161
Pinellas Florida,906320
DeSoto Florida,35592
Suwannee Florida,44496
Liberty Florida,8873
Hamilton Florida,14115
Charlotte Florida,166441
Lafayette Florida,9036
Seminole Florida,436053
Brevard Florida,554590
Sumter Florida,116883
Collier Florida,337918
Union Florida,13146
Madison Florida,19504
Alachua Florida,252084
Taylor Florida,22992
Osceola Florida,301583
Lake Florida,315557
Leon Florida,279799
Volusia Florida,506746
Marion Florida,337400
Wakulla Florida,31618
Polk Florida,626806
Okeechobee Florida,39889
Harris Georgia,34524
Glynn Georgia,81269
Camden Georgia,52038
Webster Georgia,2844
Quitman Georgia,2366
Pickens Georgia,30830
Clayton Georgia,256347
Twiggs Georgia,10080
Rockdale Georgia,87303
Jackson Georgia,63877
Heard Georgia,11536
McDuffie Georgia,21693
Clinch Georgia,6804
Echols Georgia,4187
Clarke Georgia,124295
Effingham Georgia,56542
Stephens Georgia,26120
Spalding Georgia,62826
Toombs Georgia,28273
Telfair Georgia,17126
Miller Georgia,6060
Troup Georgia,69126
Mitchell Georgia,23185
Lee Georgia,29750
Wilkes Georgia,10358
Habersham Georgia,44872
Terrell Georgia,9064
Burke Georgia,23592
Greene Georgia,16963
Atkinson Georgia,9162
Thomas Georgia,45832
Upson Georgia,27089
Grady Georgia,25284
Jenkins Georgia,9397
Barrow Georgia,73700
Dodge Georgia,21645
Hancock Georgia,9426
Cherokee Georgia,225581
Lincoln Georgia,7878
Pulaski Georgia,11972
Newton Georgia,98826
Berrien Georgia,19537
Hart Georgia,26070
Stewart Georgia,6024
Turner Georgia,8806
Tift Georgia,40097
Lamar Georgia,18315
Gilmer Georgia,29127
Glascock Georgia,3144
Walton Georgia,86089
Coffee Georgia,43691
Lanier Georgia,10212
Henry Georgia,214056
Lowndes Georgia,115493
DeKalb Georgia,708881
Treutlen Georgia,6693
Cook Georgia,18477
Irwin Georgia,9338
Dougherty Georgia,91978
Houston Georgia,141113
Appling Georgia,18192
Charlton Georgia,13433
Washington Georgia,20876
Polk Georgia,42122
Worth Georgia,21657
Candler Georgia,11216
Lumpkin Georgia,29474
Oconee Georgia,33569
Tattnall Georgia,25891
Baldwin Georgia,46255
Bleckley Georgia,12653
Dooly Georgia,14580
Meriwether Georgia,21693
Oglethorpe Georgia,15305
Calhoun Georgia,6732
Seminole Georgia,8839
Columbia Georgia,142439
Jasper Georgia,13786
Long Georgia,17085
Forsyth Georgia,204519
Jefferson Georgia,16906
Jones Georgia,27267
Ben Hill Georgia,17656
Butts Georgia,23067
Taliaferro Georgia,1891
Fulton Georgia,980467
Schley Georgia,5183
Madison Georgia,29461
Haralson Georgia,29038
Wilkinson Georgia,9601
Laurens Georgia,49455
Evans Georgia,11263
Hall Georgia,186903
Wilcox Georgia,9233
Pike Georgia,18884
Fayette Georgia,112040
Peach Georgia,33291
Banks Georgia,16318
Screven Georgia,14334
Randolph Georgia,7468
Clay Georgia,3206
Bibb Georgia,154405
Muscogee Georgia,192098
Paulding Georgia,146469
Morgan Georgia,18165
Marion Georgia,9144
Coweta Georgia,136955
White Georgia,27506
Montgomery Georgia,9065
Johnson Georgia,9999
Douglas Georgia,136091
Colquitt Georgia,46791
Bacon Georgia,11417
Brantley Georgia,17283
Bulloch Georgia,71929
Sumter Georgia,31633
Dawson Georgia,22727
Pierce Georgia,19437
Rabun Georgia,16504
Crawford Georgia,12471
Chatham Georgia,277793
Talbot Georgia,6745
Ware Georgia,36870
Gwinnett Georgia,853338
Warren Georgia,5395
Macon Georgia,14351
Taylor Georgia,8694
Decatur Georgia,27496
Elbert Georgia,19680
Jeff Davis Georgia,15330
Liberty Georgia,67038
McIntosh Georgia,14414
Early Georgia,10631
Cobb Georgia,723526
Floyd Georgia,95873
Monroe Georgia,26433
Gordon Georgia,57002
Emanuel Georgia,22656
Richmond Georgia,201587
Wheeler Georgia,8271
Bryan Georgia,34805
Chattahoochee Georgia,12091
Baker Georgia,3390
Carroll Georgia,112350
Crisp Georgia,23111
Wayne Georgia,30073
Bartow Georgia,102529
Franklin Georgia,21631
Putnam Georgia,20795
Brooks Georgia,14789
Murray Georgia,40403
Fannin Georgia,26411
Catoosa Georgia,66687
Whitfield Georgia,102789
Chattooga Georgia,25276
Union Georgia,21471
Walker Georgia,69016
Towns Georgia,11104
Dade Georgia,16802
Kalawao Hawaii,84
Maui Hawaii,154507
Hawaii Hawaii,190294
Kauai Hawaii,69773
Honolulu Hawaii,972200
Ada Idaho,418980
Adams Idaho,3935
Bannock Idaho,84481
Bear Lake Idaho,5984
Benewah Idaho,9276
Bingham Idaho,46764
Blaine Idaho,21405
Boise Idaho,6982
Bonner Idaho,41700
Bonneville Idaho,108249
Boundary Idaho,11767
Butte Idaho,2978
Camas Idaho,1139
Canyon Idaho,210242
Caribou Idaho,6977
Cassia Idaho,24831
Clark Idaho,949
Clearwater Idaho,8943
Custer Idaho,4357
Elmore Idaho,26683
Franklin Idaho,13235
Fremont Idaho,11291
Gem Idaho,16912
Gooding Idaho,16018
Idaho Idaho,17000
Jefferson Idaho,27621
Jerome Idaho,23068
Kootenai Idaho,149084
Latah Idaho,38696
Lemhi Idaho,8085
Lewis Idaho,3297
Lincoln Idaho,5605
Madison Idaho,41766
Minidoka Idaho,19796
Nez Perce Idaho,40308
Oneida Idaho,4241
Owyhee Idaho,10224
Payette Idaho,23784
Power Idaho,7972
Shoshone Idaho,12742
Teton Idaho,10574
Twin Falls Idaho,81274
Valley Idaho,9704
Washington Idaho,10248
Boone Illinois,55283
Winnebago Illinois,292389
Carroll Illinois,14962
Henry Illinois,49945
Rock Island Illinois,146612
Mercer Illinois,16488
Jo Daviess Illinois,22452
Hancock Illinois,18803
Whiteside Illinois,57825
Ogle Illinois,53493
Iroquois Illinois,29403
Lee Illinois,35749
Wabash Illinois,10995
Lake Illinois,707355
Will Illinois,695181
Kankakee Illinois,112528
McHenry Illinois,310601
Woodford Illinois,40199
Livingston Illinois,38598
Stephenson Illinois,46888
Marshall Illinois,12127
Bureau Illinois,34827
LaSalle Illinois,112882
DeKalb Illinois,105829
Kendall Illinois,119460
DuPage Illinois,922386
Grundy Illinois,51931
Kane Illinois,528353
Ford Illinois,14052
Cook Illinois,5223692
Greene Illinois,13604
Williamson Illinois,68110
Lawrence Illinois,16848
Jefferson Illinois,38681
Christian Illinois,34248
Massac Illinois,14525
Putnam Illinois,6004
Washington Illinois,14599
Cass Illinois,13458
Clinton Illinois,38258
Morgan Illinois,34543
McDonough Illinois,31797
Cumberland Illinois,11293
Montgomery Illinois,29905
Clark Illinois,16313
St. Clair Illinois,267298
Union Illinois,18028
Johnson Illinois,13078
Macoupin Illinois,47213
Fayette Illinois,21902
Knox Illinois,52357
Fulton Illinois,36300
Shelby Illinois,22210
Monroe Illinois,32524
Pope Illinois,4334
Peoria Illinois,189315
Hamilton Illinois,8555
Macon Illinois,109339
Scott Illinois,5306
Richland Illinois,16071
Jasper Illinois,9531
Moultrie Illinois,15049
Warren Illinois,18058
Saline Illinois,25012
Bond Illinois,17469
Jersey Illinois,23262
Vermilion Illinois,80638
Perry Illinois,21995
Crawford Illinois,19532
Coles Illinois,53290
McLean Illinois,175743
De Witt Illinois,16627
Gallatin Illinois,5479
Wayne Illinois,16616
Piatt Illinois,16944
Pulaski Illinois,6094
Madison Illinois,267162
Logan Illinois,29469
Randolph Illinois,32886
Edwards Illinois,6742
Douglas Illinois,20394
Mason Illinois,14476
Franklin Illinois,39664
Stark Illinois,5937
Effingham Illinois,35317
Marion Illinois,38952
Jackson Illinois,59220
Champaign Illinois,205737
Pike Illinois,16211
White Illinois,14381
Brown Illinois,6932
Schuyler Illinois,7487
Alexander Illinois,7762
Calhoun Illinois,5000
Hardin Illinois,4237
Sangamon Illinois,199036
Clay Illinois,13609
Menard Illinois,13137
Adams Illinois,67525
Edgar Illinois,18047
Tazewell Illinois,136665
Henderson Illinois,7123
Jasper Indiana,33785
Knox Indiana,38391
Pike Indiana,12870
Dubois Indiana,42766
Newton Indiana,14577
Porter Indiana,167671
Perry Indiana,18405
St. Joseph Indiana,267679
Gibson Indiana,35066
Spencer Indiana,22025
LaPorte Indiana,112844
Lake Indiana,493592
Posey Indiana,24897
Warrick Indiana,61411
Vanderburgh Indiana,182554
LaGrange Indiana,38810
Shelby Indiana,44607
Noble Indiana,48992
Whitley Indiana,32015
Tipton Indiana,15549
Union Indiana,7320
Orange Indiana,20247
Tippecanoe Indiana,181468
Parke Indiana,16653
Delaware Indiana,116855
Wabash Indiana,32437
Grant Indiana,69210
Huntington Indiana,36996
Steuben Indiana,34644
Owen Indiana,21359
Hancock Indiana,74081
Bartholomew Indiana,80793
Decatur Indiana,26083
Washington Indiana,27847
Adams Indiana,35053
Brown Indiana,15421
Vigo Indiana,108954
Elkhart Indiana,203553
Jennings Indiana,28419
Rush Indiana,17184
Montgomery Indiana,38404
Morgan Indiana,69450
Johnson Indiana,147113
