county & state,2015 Capacity Onshore Wind (GW)
"lycoming, pennsylvania",69
"schuylkill, pennsylvania",128
"somerset, pennsylvania",358
"tioga, pennsylvania",100.5
"wayne, pennsylvania",64.5
"wyoming, pennsylvania",142.6
"newport, rhode island",1.5
"providence, rhode island",0.8
"washington, rhode island",1.5
"bon homme, south dakota",80
"brookings, south dakota",260.4
"brule, south dakota",2.6
"clark, south dakota",19.5
"day, south dakota",99
"hand, south dakota",25
"hyde, south dakota",40.5
"jerauld, south dakota",213
"anderson, tennessee",29.1
"archer, texas",217.6
"baylor, texas",146
"borden, texas",640
"briscoe, texas",200
"cameron, texas",401.6
"carson, texas",860.9
"cooke, texas",112.5
"crosby, texas",309.8
"culberson, texas",53.3
"dawson, texas",211.2
"deaf smith, texas",499.7
"dickens, texas",150
"ector, texas",152.5
"erath, texas",60
"fisher, texas",249
"floyd, texas",57
"glasscock, texas",329.7
"hansford, texas",246.8
"hartley, texas",4.2
"howard, texas",357.5
"hudspeth, texas",1.3
"hutchinson, texas",20
"jack, texas",380
"kenedy, texas",873.8
"kent, texas",30
"kinney, texas",99.8
"lubbock, texas",7.5
"lynn, texas",61.2
"martin, texas",120
"mills, texas",150
"mitchell, texas",150
"moore, texas",99.5
"nolan, texas",1941.4
"nueces, texas",9
"ochiltree, texas",249.9
"oldham, texas",561.2
"pecos, texas",700.5
"roberts, texas",288.6
"san patricio, texas",380.1
"scurry, texas",473.5
"shackelford, texas",562.3
"sherman, texas",20
"starr, texas",200
"sterling, texas",1011.6
"taylor, texas",970.1
"tom green, texas",150
"upton, texas",353
"webb, texas",242
"wilbarger, texas",135.4
"willacy, texas",203
"young, texas",225
"beaver, utah",305.5
"utah, utah",18.9
"bennington, vermont",5.2
"caledonia, vermont",40
"chittenden, vermont",10
"orleans, vermont",65
"benton, washington",95
"columbia, washington",634
"garfield, washington",342.7
"grays harbor, washington",6
"kittitas, washington",467.6
"klickitat, washington",1245.6
"walla walla, washington",176.9
"whitman, washington",105.3
"brown, wisconsin",20.1
"columbia, wisconsin",28
"dodge, wisconsin",183
"fond du lac, wisconsin",88.9
"iowa, wisconsin",2
"kewaunee, wisconsin",2
"monroe, wisconsin",4.8
"racine, wisconsin",3
"barbour, west virginia",97.6
"grant, west virginia",264
"greenbrier, west virginia",100.5
"mineral, west virginia",55.2
"tucker, west virginia",66
"albany, wyoming",154.1
"carbon, wyoming",346.4
"converse, wyoming",536
"laramie, wyoming",71.4
"natrona, wyoming",17
"uinta, wyoming",285
